SHAKESPEARIAN GLOSSARY
ABATE	to shorten
BURGONET	a kind of helmet
BURST	to break
BUSKY	bushy
BUTT-SHAFT	a light arrow for shooting at a target
	
BUXOM	obedient
BY'RLAKIN	by our little Lady: an oath


CADDIS	worsted galloon, so called because it resembles
	the caddis-worm
CADE	a cask or barrel
CAGE	a prison
CAIN-COLOURED	red (applied to hair)
CAITIFF	a captive, a slave; hence, a witch
CALCULATE	prophesy
CALIVER	a hand-gun
CALLET	a trull
CALLING	appellation
CALM	qualm
CAN	to know, be skillful in
CANAKIN	a little can
CANARY	a wine brought from the Canary Islands
CANDLE-WASTERS	persons who sit up all night to drink
CANKER	a caterpillar
	The dog-rose
CANSTICK	a candlestick
CANTLE	a slice, corner
CANTON	a canto
CANVAS	to sift: hence, metaphorically, to prove
CAPABLE	subject to
	Intelligent
	Capable of inheriting
	Ample, capacious
CAPITULATE	make a combined force
CAPOCCHIA	a simpleton
CAPRICIO	caprice
CAPRICIOUS	lascivious
CAPTIOUS	capacious
CARACK	a large ship of burden
CARBONADO	meat scotched for broiling
CARBONADO	to scotch for broiling
CARD	the taper on which the points of the compass
	are marked under the mariner's needle
CAREIRE	the curvetting of a horse
CARKANET	a necklace
CARL	a churl
CARLOT	a churl
CASTILIAN	a native of Castile; used as a cant term
CASTILIANO VULGO	a cant term, meaning, apparently, to use discreet
	language
CATAIAN	a native of Cathay, a cant word
CATLING	cat-gut
CAUTEL	deceit
CAUTELOUS	insidious
CAVALERO	a cavalier, gentleman
CAVIARE	the roe of sturgeon pickled; metaph. a delicacy
	not appreciated by the vulgar
CEASE	decease
CEASE	put off, made to cease
CENSURE	judgment
CENSURE	to judge, criticise
CENTURY	a hundred of anything, whether men, prayers, or
	anything else
CEREMONY	a ceremonial vestment, religious rite, or
	anything ceremonial
CERTES	certainly
CESS	rate, reckoning
CHACE	a term at tennis
CHAMBER	a species of great gun
CHAMBERER	an effeminate man
CHANSON	a song
CHARACT	affected quality
CHARACTER	a letter, handwriting
CHARACTER	to carve or engrave
CHARACTERY	handwriting
	That which is written
CHARE	a turn of work
CHARGE-HOUSE	a free-school
CHARLES' WAIN	the constellation called also Ursa Major, or
	the Great Bear
CHARNECO	a species of sweet wine
CHAUDRON	entrails
CHEATER	for escheator, an officer who collected the
	fines to be paid into the Exchequer
	A decoy
CHEQUE	a technical term in falconry; when a falcon
	flies at a bird which is not her proper game she
	is said to cheque at it
CHEQUES	perhaps intended for ethics
CHEER	fortune, countenance
CHERRY-PIT	a game played with cherrystones
CHEVERIL	kid leather
CHEWIT	cough
CHILDING	pregnant
CH'ILL	vulgar for 'I will.' 
CHIRURGEONLY	in a manner becoming a surgeon
CHOPIN	a high shoe or clog
CHRISTENDOM	the state of being a Christian
CHRISTOM	clothed with a chrisom, the white garment
	which used to be put on newly-baptized children
CHUCK	chicken, a term of endearment
CHUFF	a coarse blunt clown
CINQUE PACE	a kind of dance
CIPHER	to decipher
CIRCUMSTANCE	an argument
CITAL	recital
CITE	to incite
CITTERN	a guitar
CLACK-DISH	a beggar's dish
CLAP I' THE CLOUT	to shoot an arrow into the bull's eye of the target
CLAW	to flatter
CLEPE	to call
CLIFF	clef, the key in music
CLING	to starve
CLINQUANT	glittering
CLIP	to embrace, enclose
CLOUT	the mark in the middle of a target
COAST	to advance
COBLOAF	a big loaf
COCK	a cockboat
COCK	a euphemism for God
COCK-AND-PIE	an oath
COCKLE	tares or darnel
COCKNEY	a cook
COCK-SHUT-TIME	the twilight, when cocks and hens go to roost
COG	to cheat, dissemble
COGNIZANCE	badge, token
COIGN	projecting corner stone
COIL	tumult, turmoil
COLLECTION	drawing a conclusion
COLLIED	blackened. Othello; 
COLOUR	pretence
COLOURABLE	specious
COLT	to defraud, befool
CO-MART	a joint bargain
COMBINATE	betrothed
COMBINE	to bind
COMMODITY	interest, profit
COMMONTY	used ludicrously for comedy
COMPACT	compacted, composed
COMPARATIVE	drawing comparisons
COMPARATIVE	rival
COMPARE	comparison
COMPASSIONATE	moving comparison
COMPETITOR	one who seeks the same thing, an associate in
	any object
COMPLEMENT	accomplishment
COMPLEXION	passion
COMPOSE	to agree
COMPOSTION	composition
COMPTIBLE	tractable
CON	to learn by heart
	To acknowledge
CONCEIT	conception, opinion, fancy
CONCUPY	concubine
CONDITION	temper, quality
CONDOLEMENT	grief
CONDUCT	escort
CONFECT	to make up into sweetmeats
CONFOUND	to consume, destroy
	Coriolanus; 
CONJECT	conjecture
CONSIGN	to sign a common bond, to confederate
CONSORT	company
CONSORT	to accompany
CONSTANCY	consistency
CONSTANT	settled, determined
CONSTANTLY	firmly
CONSTER	to construe
CONTEMPTIBLE	contemptuous
CONTINENT	that which contains anything
	That which is contained
CONTINUATE	uninterrupted
CONTRACTION	the marriage contract
CONTRARY	to oppose
CONTRIVE	to conspire
	to wear away
CONTROL	to confute
CONVENT	to convene, summon
	to be convenient
CONVERT	to change
CONVERTITE	a convert
CONVEY	to manage
	To filch
CONVEYANCE	theft, fraud
CONVICT	convicted
CONVICTED	overpowered, vanquished
	A doubtful word
CONVINCE	to conquer, subdue
CONVIVE	to feast together
CONVOY	escort
CONY-CATCH	to cheat
CONY-CATCHING	poaching, pilfering
COOLING CARD	used metaphorically for an insurmountable obstacle
COPATAIN HAT	a high-crowned hat
COPE	to reward, to give in return
COPY	theme
CORAGIO	courage! 
CORAM	an ignorant mistake for Quorum
CORANTO	lively dance
CORINTH	a cant term for a brothel
CORINTHIAN	a wencher
CORKY	dry like cork
CORNUTO	a cuckold
COROLLARY	a surplus
CORPORAL	corporeal, bodily
CORPORAL
OF THE FIELD	an aide-de-camp
CORRIVAL	rival
COSTARD	the head
COSTER-MONGER	peddling, mercenary
COTE	a cottage
COTE	to quote, instance
COTE	to come alongside, overtake
COT-QUEAN	an effeminate man, molly-coddle
COUCHINGS	crouchings
COUNT CONFECT	a nobleman composed of affectation
COUNTENANCE	fair shew
COUNTERFEIT	portrait
	A piece of base coin
COUNTERPOINT	a counterpane
COUNTERVAIL	to counterpoise, outweigh
COUNTRY	belonging to one's country
COUNTY	count, earl
COUPLEMENT	union
COURT HOLY-WATER	flattery
COVENT	a convent
COVER	to lay the table for dinner
COWISH	cowardly
COWL-STAFF	the staff on which a vessel is supported
	between two men
COX MY PASSION	an oath, a euphemism for 'God's Passion.'
COY	to stroke, fondle
	to condescend with difficulty
COYSTRIL	a kestrel, a cowardly kind of hawk
COZEN	to cheat
COZENAGE	cheating
COZENER	a cheater
COZIER	a tailor
CRACK	to boast
CRACK	a loud noise, clap
	A forward boy
CRACKER	boaster
CRACK-HEMP	a gallows-bird
CRANK	a winding passage
CRANKING	winding
CRANTS	garlands.  A doubtful word
CRARE	a ship of burden
CRAVEN	a dunghill cock
CREATE	formed, compounded
CREDENT	creditable
	Credible
	Credulous
CREDIT	report
CRESCIVE	increasing
CRESTLESS	not entitled to bear arms, lowborn
CRISP	curled, winding
CROSS	a piece of money, so called because the coin
	was formerly stamped with a cross
CROW-KEEPER	one who scares crows
CROWNER	a coroner
CROWNET	a coronet
CRY	the yelping of hounds
	A pack of hounds
	A company, use contemptuously
CRY AIM	to encourage
CUE	the last words of an actor's speech, which
	is the signal for the next actor to begin
CUISSES	pieces of armour to cover the thighs
CULLION	a base fellow
CUNNING	skill
CUNNING	skilful
CURB	to bend, truckle
CURRENTS	occurrences
CURST	
CURSTNESS	shrewishness
CURTAIL	a cur
CURTAL	a docked horse
CURTAL-AXE	a cutlass
CUSTALORUM	a ludicrous mistake for Custos Rotulorum
CUSTARD-COFFIN	the crust of a custard-pudding
CUSTOMER	a common woman
CUT	a cheat
	'To draw cuts' is to draw lots
CYPRESS	a kind of crape


DAFF	to befool
	To put off; this seems to be a corruption of 'doff.'
DAMN	to condemn
DANGER	reach, control, power
DANSKER	a Dane
DARE	to challenge
DARKLING	in the dark
DARRAIGN	to set in array
DAUB	to disguise
DAUBERY	imposition
DAY-WOMAN	a dairy-maid
DEAR	dire
	That which has to do with the affections
	Piteous
	Important
DEARN	lonely
DEBOSHED	debauched, drunken
DECK	to bedew. This is probably a form of the verb
	'to dag,' now a provincial word
DECK	a pack of cards
DECLINE	to enumerate, as in going through the cases of
	a noun
DECLINED	fallen
DEEM	doom, judgment
DEFEAT	to undo, destroy
DEFEAT	destruction
DEFEATURE	disfigurement
DEFENCE	art of fencing
DEFEND	to forbid
DEFENSIBLE	having the power to defend
DEFTLY	dexterously
DEFY	renounce
DEGREES	a step
DELAY	to let slip by delaying
DEMERIT	merit, desert
DEMURELY	solemnly
DENAY	denial
DENIER	the 12th part of a French sol coin
DENOTEMENT	marking
	Note or manifestation
DENY	to refuse
DEPART	departure
DEPART	to part
DEPARTING	parting, separation
DEPEND	to be in service
DERIVED	born, descended
DEROGATE	degraded
DESCANT	a variation upon a melody, hence,
	metaphorically, a comment on a given theme
DESIGN	to draw up articles
DESPATCH	to deprive, bereave
DESPERATE	determined, bold
DETECT	to charge, blame
DETERMINE	to conclude
DICH	optative mood, perhaps contracted for 'do it.'
DIET	food regulated by the rules of medicine
DIET	to have one's food regulated by the rules of
	medicine
DIFFUSED	confused
DIGRESSING	transgressing, going out of the right way
DIGRESSION	transgression
DIG-YOU-GOOD-DEN	give you good evening
DILDO	the chorus or burden of a song
DINT	stroke
DIRECTION	judgment, skill
DISABLE	to disparage
DISAPPOINTED	unprepared
DISCASE	to undress
DISCONTENT	a malcontent
DISCOURSE	power of reasoning
DISDAINED	disdainful
DISLIMN	to disfigure, transform
DISME	a tenth or tithe
DISPARK	to destroy a park
DISPONGE	to squeeze out as from a sponge
DISPOSE	disposal
DISPOSE	to conspire
DISPOSITION	maintenance
DISPUTABLE	disputatious
DISPUTE	to argue, examine
DISSEMBLY	used ridiculously for assembly
DISTASTE	to corrupt
DISTEMPERED	discontented
DISTRACTION	a detached troop or company of soldiers
DISTRAUGHT	distracted, mad
DIVERTED	turned from the natural course
DIVISION	a phrase or passage in a melody
DIVULGED	published, spoken of
DOFF	to do off, strip
	To put off with an excuse
DOLT	a small Dutch coin
DOLE	portion dealt
	Grief, lamentation
DON	to do on, put on
DONE	'done to death,' put to death
DOTANT	one who dotes, a dotard
DOUT	to do out, quench
DOWLAS	a kind of coarse sacking
DOWLE	the swirl of a feather
DOWN-GYVED	hanging down like gyves or fetters
DRAB	a harlot
DRABBING	whoring
DRAUGHT	a privy
DRAWN	having his sword drawn
DRAWN	drunk, having taken a good draught
DRIBBLING	weak
DRIVE	to rush impetuously
DROLLERY	a puppet-show
DRUMBLE	to dawdle
DRY	thirsty
DUC-DAME	perhaps the Latin duc-ad-me, bring him to me
DUDGEON	a dagger
DULL	soothing
DULLARD	a dull person
DUMP	complaint
DUP	to do up, Lift up


EAGER	sour
	Harsh
	Biting
EANLING	a yeanling, a lamb
EAR	to plough
ECHE	to eke out
EFT	ready, convenient
EISEL	vinegar
ELD	old age
EMBOSSED	swollen into protuberances
	Covered with foam
EMBOWELLED	disembowelled, emptied
EMBRASURE	embrace
EMINENCE	exalted station
EMPERY	empire
EMULATION	jealousy, mutiny
EMULOUS	jealous
ENCAVE	to place oneself in a cave
END	'Still an end,' continually for ever
ENFEOFF	to place in possession in fee simple
ENGINE	a machine of war
ENGLUT	to swallow speedily
ENGROSS	to make gross or fat
ENGROSSMENT	immoderate acquisition
ENKINDLE	to make keen
ENMEW	to shut up, as a hawk is shut up in a mew
ENSCONCE	to cover as with a fort
ENSEAMED	fat, rank
ENSHIELD	hidden
ENTERTAIN	encounter
	Experience
ENTERTAINMENT	treatment
	A disposition to entertain a proposal
	Service
ENTREATMENTS	interviews
EPHESIAN	a toper, a cant term
EQUIPAGE	attendance
EREWHILE	a short time since
ESCOT	to pay a man's reckoning, to maintain
ESPERANCE	hope, used as a war-cry
ESPIAL	a scout or spy
ESTIMATION	conjecture
ESTRIDGE	ostridge
ETERNE	eternal
EVEN	coequal
EVEN	to equal
EXAMINE	to question
EXCREMENT	that which grows outwardly from the body
	and has no sensation like the hair or nails
	Any outward show
EXECUTOR	an executioner
EXEMPT	excluded
EXERCISE	a religious service
EXHALE	to hale or draw out
	to draw the sword
EXHIBITION	allowance, pension
EXIGENT	death, ending
EXION	ridiculously used for 'action.' 
EXPECT	expectation
EXPEDIENCE	expedition, undertaking
	Haste
EXPEDIENT	expeditious, swift
EXPIATE	completed
EXPOSTULATE	to expound, discuss
EXPOSTURE	exposure
EXPRESS	to reveal
EXPULSE	to expel
EXSUFFICATE	that which has been hissed off, contemptible
EXTEND	to seize
EXTENT	a seizure
EXTERN	outward
EXTIRP	to extirpate
EXTRACTING	distracting
EXTRAUGHT	part. extracted, descended
EXTRAVAGANT	foreign, wandering
EXTREMES	extravagance of conduct
	Extremities
EYAS	a nestling hawk
EYAS-MUSKET	a nestling of the musket or merlin, the smallest
	species of British hawk
EYE	a glance, oeillad
EYE	a shade of colour, as in shot silk
EYNE	eyes


FACINOROUS	wicked
FACT	guilt
FACTIOUS	instant, importunate
FACULTY	essential virtue or power
FADGE	to suit
FADING	a kind of ending to a song
FAIN	glad
FAIN	gladly
FAIR	beauty
FAITOR	a traitor
FAll	to let fall
FALLOW	fawn-coloured
FALSE	falsehood
FALSING	deceptive
FAMILIAR	a familiar spirit
FANCY	
FANCY-FREE	untouched by love
FANG	to seize in the teeth
FANTASTIC	a fantastical person
FAP	drunk
FAR	farther
FARCED	stuffed
FARDEL	a burden
FARTUOUS	used ridiculously for ' virtuous.'
FAST	assuredly, unalterably
FAT	dull
FAVOUR	countenance
	Complexion
	Quality
FEAR	the object of fear
FEAR	to affright
FEARFUL	subject to fear, timorous
FEAT	dexterous
FEAT	to make fine
FEATER	comp. degree. more neatly
FEATLY	nimbly, daintily
FEATURE	beauty
FEDERARY	confederate
FEEDER	agent, servant
FEE-GRIEF	a grief held, as it were, in fee-simple, or the
	peculiar property of him who possesses it
FEERE	a companion, husband
FEHEMENTLY	used ridiculously for 'vehemently.'
FELL	the hide
FENCE	art or skill in defence
FEODARY	one who holds an estate by suit or service to
	a superior lord; hence one who acts under the
	direction of another
FESTER	to rankle, grow virulent
FESTINATELY	quickly
FET	fetched
FICO	a fig
FIELDED	in the field of battle
FIG	to insult
FIGHTS	clothes hung round a ship to conceal the men
	from the enemy
FILE	a list or catalogue
FILE	to defile
	To smooth or polish
	To make even
FILL-HORSE	shaft-horse
FILLS	the shafts
FILTH	a whore
FINE	end
FINE	to make fine or specious
FINELESS	endless
FIRAGO	ridiculously used for 'Virago.' 
FIRE-DRAKE	Will o' the Wisp
FIRE-NEW	with the glitter of novelty on, like newly-
	forged metal
FIRK	to chastise
FIT	a canto or division of a song
	A trick or habit
FITCHEW	a polecat
FIVES	a disease incident to horses
FLAP-DRAGON	raisins in burning brandy
FLAP-JACK	a pan-cake
FLAT	certain
FLATNESS	lowness, depth
FLAW	a gust of wind
	sudden emotion, or the cause of it
FLAW	to make a flaw in, to break
FLECKED	spotted, streaked
FLEET	to float
	To pass away
	to pass the time
FLEETING	inconstant
FLESHMENT	the act of fleshing the sword, hence the
	first feat of arms
FLEWED	furnished with hanging lips, as hounds are
FLIGHT	a particular mode of practising archery
FLIRT-GILL	a light woman
FLOTE	wave, sea
FLOURISH	an ornament
FLOURISH	to ornament, disguise with ornament
FLUSH	fresh, full of vigour
FOIL	defeat, disadvantage
FOIN	to fence, fight
FOISON	plenty
FOND	foolish, foolishly affectionate
FOOT-CLOTH	a saddle-cloth hanging down to the ground
FOR	for that, because
FORBID	accursed, outlawed
FORBODE	forbidden
FORCE	to stuff, for 'farce.' 
FORCED	falsely attributed
FORDO	to kill, destroy
	To weary
FOREIGN	obliged to live abroad
FOREPAST	former
FORESLOW	to delay
FORFEND	to forbid
FORGETIVE	inventive
FORKED	horned
FORMAL	regular, retaining its proper and essential
	characteristic
FORSPEAK	to speak against
FORSPENT	exhausted, weary
FORTHRIGHT	a straight path; forthrights and meanders,
	straight paths and crooked ones
FORWEARY	to weary, exhaust
FOSSET-SELLER	one who sells the pipes inserted into a vessel
	to give vent to the liquor, and stopped by a
	spigot
FOX	a sword; a cant word
FOX-SHIP	the cunning of the fox
FRAMPOLD	peevish, unquiet
FRANK	the feeding place of swine
FRANKED	confined
FRANKLIN	a freeholder, a small squire
FRAUGHT	freighted
FRAUGHTAGE	freight
FRAUGHTING	to fraught. loading or constituting the
	cargo of a ship
FRESH	a spring of fresh water
FRET	the stop of a guitar
FRET	to wear away
	To variegate
FRIEND	to befriend
FRIPPERY	an old-clothes shop
FROM	prep. contrary to
FRONT	to affront, oppose
FRONTIER	opposition
FRONTLET	that which is worn on the forehead
FRUSH	to break or bruise
FRUSTRATE	frustrated
FUB OFF	to put off
FULFILL	to fill full
FULL	complete
FULLAM	a loaded die
FULSOME	lustful
FURNISHED	equipped
FURNITOR	furnitory, an herb


GABERDINE	a loose outer coat, or smock frock
GAD	a pointed instrument, a goad
	Upon the gad, with impetuous haste, upon the spur
	of the moment
GAIN-GIVING	misgiving
GAIT	going, steps
GALLIARD	a kind of dance
GALLIASSE	a kind of ship
GALLIMAUFRY	a ridiculous medley
GALLOW	to scare
GALLOWGLASS	the irregular infantry of Ireland, and the
	Highlands of Scotland
GAMESTER	a frolicsome person
	A loose woman
GARBOIL	disorder, uproar
GARISH	gaudy, staring
GARNER	to lay by, as corn in a barn
GAST	frightened
GAUDY	festive
GAZE	an object of wonder
GEAR	matter of business of any kind
GECK	a fool
GENERAL	the generality, common people
GENERATIONS	children
GENEROSITY	noble birth
GENEROUS	noble
GENTILITY	good manners
GENTLE	gentlefolk
GENTLE	noble
GENTLE	to ennoble
GENTRY	complaisance, conduct becoming gentlefolk
GERMAN	akin
	Appropriate
GERMEN	seed, embryo
GEST	period
GIB	a he-cat
GIFTS	talents, endowment
GIGLOT	a wanton girl
GILDER	a coin of the value of 1s. 6d. or 2s
GILT	money
	State of wealth
GIMMAL	double
GIMMOR	contrivance
GING	gang
GIRD	to gibe
GIRD	a sarcasm or gibe
GLEEK	to scoff
GLEEK	a scoff
GLOSE	to comment; hence, to be garrulous
GLUT	to swallow
GNARL	to snarl
GOOD-DEED	indeed
GOOD-DEN	good-evening, contracted from 'Good-even.'
GOOD-YEAR
or GOOD-JER	a corruption of the French goujere; the
	venereal disease
GORBELLIED	corpulent
GOURD	a species of game of chance
GOUT	a drop
GOVERNMENT	discretion
GRACIOUS	abounding in grace Divine
GRAINED	engrained
GRAMERCY	int. grand mercy, much thanks
GRANGE	the farmstead attached to a monastery, a
	solitary farm-house
GRATILLITY	used ridiculously for 'gratuity.'
GRATULATE	to congratulate
GRAVE	to bury
GREASILY	grossly
GREEK	a bawd
GREEN	immature, fresh, unused
GREENLY	foolishly
GREET	to weep
GRIZE	a step
GROSSLY	palpably
GROUNDLING	one who sits in the pit of a theatre
GROWING	accruing
GUARD	decoration
GUARD	to decorate
GUARDAGE	guardianship
GUINEA-HEN	the pintado, a cant term
GULES	red, a term in heraldry
GULF	the throat
GUN-STONE	a cannon ball
GUST	taste, relish
GYVE	to fetter


HACK	to become common
HAGGARD	a wild or unreclaimed hawk
HAG-SEED	seed or offspring of a hag
HAIR	course, order, grain
HALIDOM	holiness, sanctification, Christian fellowship;
	used as an oath, and analogous to 'By my faith.'
HALL	an open space to dance in
HALLOWMAS	All Hallows' Day
HAP	chance, fortune
HAPPILY	accidentally
HANDSAW	perhaps a corruption of Heronshaw; a hern
HARDIMENT	defiance, brave deeds
HARLOCK	charlock, wild mustard
HARRY	to annoy, harass
HAUGHT	haughty
HAUNT	company
HAVING	property, fortune
HAVIOUR	behavior
HAY	a term in fencing
HEADY	violent, headlong
HEAT	of 'to heat,' heated
HEBENON	henbane
HEFT	a heaving
HEFT	furnished with a handle: hence,
	metaphorically, finished off, delicately formed
HELM	to steer, manage
HENCE	henceforward
HENCHMAN	a page or attendant
HENT	to seize, take
HERMIT	a beadsman, one bound to pray for another
HEST	command
HIGH	used in composition with adjectives to heighten
	or emphasize their signification, as, high-
	fantastical
HIGHT	called
HILD	held
HILDING	a paltry fellow
HINT	suggestion
HIREN	a prostitute. with a pun on the word 'iron.'
HIT	to agree
HOISE	to hoist, heave up on high
HOIST	hoisted
HOLP	to help; helped
HOME	to the utmost
HONEST	chaste
HONESTY	chastity
HONEY-STALKS	the red clover
HOODMAN-BLIND	the game now called blindman's-buff
HORN-MAD	probably, 'harn-mad,' that is, brain-mad
HOROLOGE	a clock
HOT-HOUSE	a brothel
HOX	to hamstring
HUGGER-MUGGER	secresy
HULL	to drift on the sea like a wrecked ship
HUMOROUS	fitful, or, perhaps, hurried
HUNT-COUNTER	to follow the scent the wrong way
HUNTS-UP	a holla used in hunting when the game was on
	foot
HURLY	noise, confusion
HURTLE	to clash
HURTLING	noise, confusion
HUSBANDRY	frugality
	Management
HUSWIFE	a jilt


ICE-BROOK	an icy-cold brook
I'FECKS	int. in faith, a euphemism
IGNOMY	ignominy
IMAGE	representation
IMBARE	to bare, lay open
IMMEDIACY	close connexion
IMMOMENT	unimportant
IMP	to graft. to splice a falcon's broken feathers
IMP	a scion, a child
IMPAWN	to stake, compromise
IMPEACH	to bring into question
IMPEACH	impeachment
IMPEACHMENT	cause of censure, hindrance
IMPERCEIVERANT	duff of perception
IMPETICOS	to pocket
IMPORTANCE	importunity
IMPORTANT	importunate
IMPORTING	significant
IMPOSE	imposition, meaning command or task imposed
	upon any one
IMPOSITIONS	command
IMPRESE	a device with a motto
